cbsa_code,cbsa_title,metro_area,county_fips,county_name
23820,"Gardnerville Ranchos, NV",0,32005,"Douglas County, Nevada"
23860,"Georgetown, SC",0,45043,"Georgetown County, South Carolina"
23900,"Gettysburg, PA",1,42001,"Adams County, Pennsylvania"
23940,"Gillette, WY",0,56005,"Campbell County, Wyoming"
23940,"Gillette, WY",0,56011,"Crook County, Wyoming"
23940,"Gillette, WY",0,56045,"Weston County, Wyoming"
23980,"Glasgow, KY",0,21009,"Barren County, Kentucky"
23980,"Glasgow, KY",0,21169,"Metcalfe County, Kentucky"
24020,"Glens Falls, NY",1,36113,"Warren County, New York"
24020,"Glens Falls, NY",1,36115,"Washington County, New York"
24060,"Glenwood Springs, CO",0,08045,"Garfield County, Colorado"
