"state","puma12","cbsa20","stab","CBSAName20","PUMA12name","pop20","afact2","afact"
"State code","PUMA (2012)","Core-based statistical area code","State abbr.","2020 CBSA name","PUMA12 name","Total population (2020 Census)","cbsa20-to-puma12 allocation factor","puma12-to-cbsa20 allocation factor"
"04","00807","38060","AZ","Phoenix-Mesa-Chandler, AZ","Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",144177,0.0298,1 
"04","00900","35700","AZ","Nogales, AZ","Cochise & Santa Cruz Counties--Sierra Vista City",47669,1,0.2754 
"04","00900","43420","AZ","Sierra Vista-Douglas, AZ","Cochise & Santa Cruz Counties--Sierra Vista City",125434,0.9999,0.7246 
"04","00900","46060","AZ","Tucson, AZ","Cochise & Santa Cruz Counties--Sierra Vista City",4,0,0 
"05","00100","22220","AR","Fayetteville-Springdale-Rogers, AR","Benton County",282972,0.5176,1 
"05","00200","22220","AR","Fayetteville-Springdale-Rogers, AR","Washington County",247227,0.4522,0.9997 
"05","00200","22900","AR","Fort Smith, AR-OK","Washington County",74,0.0003,0.0003 
"05","00300","22220","AR","Fayetteville-Springdale-Rogers, AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",16519,0.0302,0.1062 
"05","00300","25460","AR","Harrison, AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",44598,1,0.2868 
"05","00300","34260","AR","Mountain Home, AR","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",41499,0.9969,0.2668 
"05","00300","99999","AR","[not in a CBSA]","Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties",52900,0.0029,0.3402 
"05","00400","12900","AR","Batesville, AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",55162,0.9991,0.4125 
"05","00400","30780","AR","Little Rock-North Little Rock-Conway, AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",30,0,0.0002 
"05","00400","34260","AR","Mountain Home, AR","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",128,0.0031,0.001 
"05","00400","99999","AR","[not in a CBSA]","Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties",78403,0.0044,0.5863 
"05","00500","12900","AR","Batesville, AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",16,0.0003,0.0001 
"05","00500","27860","AR","Jonesboro, AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",101510,0.7564,0.5165 
"05","00500","37500","AR","Paragould, AR","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",45736,1,0.2327 
"05","00500","99999","AR","[not in a CBSA]","Craighead (West), Greene, Randolph, Lawrence & Clay Counties",49277,0.0027,0.2507 
"05","00600","14180","AR","Blytheville, AR","Crittenden, Mississippi & Craighead (East) Counties",40685,1,0.4128 
"05","00600","27860","AR","Jonesboro, AR","Crittenden, Mississippi & Craighead (East) Counties",9721,0.0724,0.0986 
"05","00600","32820","AR","Memphis, TN-MS-AR","Crittenden, Mississippi & Craighead (East) Counties",48147,0.036,0.4885 
"05","00600","99999","AR","[not in a CBSA]","Crittenden, Mississippi & Craighead (East) Counties",13,0,0.0001 
"05","00700","22620","AR","Forrest City, AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",23090,1,0.2434 
"05","00700","25760","AR","Helena-West Helena, AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",16568,1,0.1747 
"05","00700","27860","AR","Jonesboro, AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",22965,0.1711,0.2421 
"05","00700","32820","AR","Memphis, TN-MS-AR","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",16,0,0.0002 
"05","00700","99999","AR","[not in a CBSA]","St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties",32206,0.0018,0.3396 
"05","00800","12900","AR","Batesville, AR","White, Jackson, Prairie & Woodruff Counties",31,0.0006,0.0003 
"05","00800","30780","AR","Little Rock-North Little Rock-Conway, AR","White, Jackson, Prairie & Woodruff Counties",248,0.0003,0.0023 
"05","00800","42620","AR","Searcy, AR","White, Jackson, Prairie & Woodruff Counties",76674,0.9981,0.7069 
"05","00800","99999","AR","[not in a CBSA]","White, Jackson, Prairie & Woodruff Counties",31513,0.0018,0.2905 
"05","00900","30780","AR","Little Rock-North Little Rock-Conway, AR","Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",210828,0.2818,1 
"05","01000","30780","AR","Little Rock-North Little Rock-Conway, AR","Pulaski County (Central)--Little Rock City",189203,0.2529,1 
"05","01100","30780","AR","Little Rock-North Little Rock-Conway, AR","Faulkner & Lonoke Counties",196880,0.2632,0.9992 
"05","01100","42620","AR","Searcy, AR","Faulkner & Lonoke Counties",148,0.0019,0.0008 
"05","01100","99999","AR","[not in a CBSA]","Faulkner & Lonoke Counties",5,0,0 
"05","01200","26300","AR","Hot Springs, AR","Saline County",279,0.0028,0.0023 
"05","01200","30780","AR","Little Rock-North Little Rock-Conway, AR","Saline County",121805,0.1628,0.996 
"05","01200","31680","AR","Malvern, AR","Saline County",206,0.0062,0.0017 
"05","01300","22220","AR","Fayetteville-Springdale-Rogers, AR","Pope, Johnson, Yell, Conway & Perry Counties",7,0,0 
"05","01300","22900","AR","Fort Smith, AR-OK","Pope, Johnson, Yell, Conway & Perry Counties",31,0.0001,0.0002 
"05","01300","30780","AR","Little Rock-North Little Rock-Conway, AR","Pope, Johnson, Yell, Conway & Perry Counties",10019,0.0134,0.0715 
"05","01300","40780","AR","Russellville, AR","Pope, Johnson, Yell, Conway & Perry Counties",83596,0.9994,0.5966 
"05","01300","99999","AR","[not in a CBSA]","Pope, Johnson, Yell, Conway & Perry Counties",46471,0.0026,0.3316 
"05","01400","22900","AR","Fort Smith, AR-OK","Sebastian & Crawford Counties",187731,0.7684,0.9992 
"05","01400","99999","AR","[not in a CBSA]","Sebastian & Crawford Counties",144,0,0.0008 
"05","01500","22900","AR","Fort Smith, AR-OK","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",17193,0.0704,0.1793 
"05","01500","26260","AR","Hope, AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",12,0.0004,0.0001 
"05","01500","40780","AR","Russellville, AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",48,0.0006,0.0005 
"05","01500","45500","AR","Texarkana, TX-AR","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",11,0.0001,0.0001 
"05","01500","99999","AR","[not in a CBSA]","Logan, Polk, Franklin, Sevier, Howard & Scott Counties",78614,0.0044,0.8199 
"05","01600","11660","AR","Arkadelphia, AR","Garland, Hot Spring, Clark & Montgomery Counties",21412,0.9984,0.1308 
"05","01600","26300","AR","Hot Springs, AR","Garland, Hot Spring, Clark & Montgomery Counties",99901,0.9972,0.6105 
"05","01600","30780","AR","Little Rock-North Little Rock-Conway, AR","Garland, Hot Spring, Clark & Montgomery Counties",926,0.0012,0.0057 
"05","01600","31680","AR","Malvern, AR","Garland, Hot Spring, Clark & Montgomery Counties",32799,0.9927,0.2004 
"05","01600","99999","AR","[not in a CBSA]","Garland, Hot Spring, Clark & Montgomery Counties",8608,0.0005,0.0526 
"05","01700","30780","AR","Little Rock-North Little Rock-Conway, AR","Jefferson, Grant & Arkansas (Northwest) Counties",18058,0.0241,0.1889 
"05","01700","38220","AR","Pine Bluff, AR","Jefferson, Grant & Arkansas (Northwest) Counties",67260,0.7665,0.7036 
"05","01700","99999","AR","[not in a CBSA]","Jefferson, Grant & Arkansas (Northwest) Counties",10272,0.0006,0.1075 
"05","01800","15780","AR","Camden, AR","Southeast Arkansas",15,0.0005,0.0002 
"05","01800","38220","AR","Pine Bluff, AR","Southeast Arkansas",20491,0.2335,0.2136 
"05","01800","99999","AR","[not in a CBSA]","Southeast Arkansas",75411,0.0042,0.7862 
"05","01900","11660","AR","Arkadelphia, AR","South Central Arkansas",14,0.0007,0.0001 
"05","01900","15780","AR","Camden, AR","South Central Arkansas",27374,0.9995,0.2859 
"05","01900","20980","AR","El Dorado, AR","South Central Arkansas",39054,1,0.4078 
"05","01900","30780","AR","Little Rock-North Little Rock-Conway, AR","South Central Arkansas",34,0,0.0004 
"05","01900","31620","AR","Magnolia, AR","South Central Arkansas",22764,0.9984,0.2377 
"05","01900","31680","AR","Malvern, AR","South Central Arkansas",35,0.0011,0.0004 
"05","01900","99999","AR","[not in a CBSA]","South Central Arkansas",6487,0.0004,0.0677 
"05","02000","11660","AR","Arkadelphia, AR","Southwest Arkansas",20,0.0009,0.0002 
"05","02000","26260","AR","Hope, AR","Southwest Arkansas",28363,0.9996,0.2852 
"05","02000","31620","AR","Magnolia, AR","Southwest Arkansas",37,0.0016,0.0004 
"05","02000","45500","AR","Texarkana, TX-AR","Southwest Arkansas",54615,0.3702,0.5492 
"05","02000","99999","AR","[not in a CBSA]","Southwest Arkansas",16415,0.0009,0.1651 
"06","00101","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (North)--Berkeley & Albany Cities",145343,0.0306,1 
"06","00102","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities",184298,0.0388,1 
"06","00103","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Northeast)--Oakland (East) & Piedmont Cities",133684,0.0281,1 
"06","00104","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (North Central)--Oakland City (South Central)",142268,0.03,1 
"06","00105","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities",173901,0.0366,1 
"06","00106","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland",147403,0.031,1 
"06","00107","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Central)--Hayward City",164462,0.0346,1 
"06","00108","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities",142325,0.03,1 
"06","00109","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (South Central)--Fremont City (East)",202073,0.0426,1 
"06","00110","41860","CA","San Francisco-Oakland-Berkeley, CA","Alameda County (East)--Livermore, Pleasanton & Dublin Cities",246463,0.0519,0.9999 
"06","00110","44700","CA","Stockton, CA","Alameda County (East)--Livermore, Pleasanton & Dublin Cities",19,0,0.0001 
"06","00300","12540","CA","Bakersfield, CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",11,0,0.0001 
"06","00300","43760","CA","Sonora, CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",55620,1,0.2898 
"06","00300","99999","CA","[not in a CBSA]","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",136312,0.0076,0.7102 
"06","00701","17020","CA","Chico, CA","Butte County (Northwest)--Chico City",124617,0.5888,1 
"06","00702","17020","CA","Chico, CA","Butte County (Southeast)--Oroville City & Paradise Town",87015,0.4112,1 
"06","01100","39780","CA","Red Bluff, CA","Colusa, Glenn, Tehama & Trinity Counties",65829,1,0.4961 
